ID	Sex	Length	Lat	Lon	NAFO	Region
Te14-2456	M	45.7	49.60166667	-66.9735	4T	Gulf of St. Lawrence
Te14-2496	F	53	49.62166667	-66.824	4T	Gulf of St. Lawrence
Te14-2455	M	47.6	49.76883333	-66.9355	4S	Gulf of St. Lawrence
Te14-2439	M	48.8	49.76883333	-66.9355	4S	Gulf of St. Lawrence
Te14-2493	M	33.6	49.76883333	-66.9355	4S	Gulf of St. Lawrence
Te14-2438	F	63	49.76883333	-66.9355	4S	Gulf of St. Lawrence
Te14-2673	F	30.2	49.9335	-66.794	4S	Gulf of St. Lawrence
Te14-2535	M	57.5	49.92283333	-65.4795	4S	Gulf of St. Lawrence
Te14-2541	F	73	49.92283333	-65.4795	4S	Gulf of St. Lawrence
Tel014-17006	M	75.1	48.33033333	-62.33383333	4T	Gulf of St. Lawrence
Tel014-17016	F	87.5	50.55983333	-57.9745	4R	Gulf of St. Lawrence
Tel014-17017	U	66.4	50.55983333	-57.9745	4R	Gulf of St. Lawrence
Tel014-17049	F	86.6	49.23816667	-63.52583333	4S	Gulf of St. Lawrence
Tel014-17099	M	51	49.98633333	-64.45883333	4S	Gulf of St. Lawrence
Tel014-17106	M	66.6	49.86816667	-63.32133333	4S	Gulf of St. Lawrence
Tel014-17107	F	145	49.778	-62.56933333	4S	Gulf of St. Lawrence
3Ps171010	M	100	47.53333333	-56.1666667	3Ps	Newfoundland & Grand Banks
3Ps171027	M	123	47.35	-56.23333333	3Ps	Newfoundland & Grand Banks
3Ps171032	F	124	47.53333333	-56.1666667	3Ps	Newfoundland & Grand Banks
5Ze1730	F	92	41.85	-69.8	5Ze	Gulf of Maine
5Ze1739	F	76	41.66667	-69.66666667	5Ze	Gulf of Maine
5Ze1744	F	90	41.7833333	-69.6166667	5Ze	Gulf of Maine
5Ze1745	F	98	41.71666667	-69.63333333	5Ze	Gulf of Maine
5Ze1753	M	87	41.73333	-69.73666667	5Ze	Gulf of Maine
5Ze1755	F	81	41.8	-69.66667	5Ze	Gulf of Maine
GoM18_34276	U	52	44.57	-67.31	5Y	Gulf of Maine
Gulf17039	F	129	48.79483333	-63.7265	4T	Gulf of St. Lawrence
Gulf17065	M	94.5	46.25425	-62.11786667	4T	Gulf of St. Lawrence
Gulf17066	M	100	46.25425	-62.11786667	4T	Gulf of St. Lawrence
Gulf17160	U	77	46.25705	-62.10771667	4T	Gulf of St. Lawrence
Gulf17169	U	113	46.25705	-62.10771667	4T	Gulf of St. Lawrence
Gulf17171	U	97	46.25705	-62.10771667	4T	Gulf of St. Lawrence
Gulf17257	F	88	47.25756667	-60.305	4T	Gulf of St. Lawrence
Gulf17258	M	88	47.25756667	-60.305	4T	Gulf of St. Lawrence
Gulf17400	U	74	46.69733333	-63.73416667	4T	Gulf of St. Lawrence
Gulf17352	U	92	48.84183333	-63.7405	4T	Gulf of St. Lawrence
NAFO_3NO18-32971	U	NA	44.32230833	-51.12241944	3NO	Newfoundland & Grand Banks
NAFO_3NO18-32975	U	NA	44.32230833	-51.12241944	3NO	Newfoundland & Grand Banks
NAFO_3NO18-32976	U	NA	44.32230833	-51.12241944	3NO	Newfoundland & Grand Banks
FC18_34250	U	NA	47.26124103	-45.11186923	3M	Flemish Cap
FC18_34251	U	NA	47.26124103	-45.11186923	3M	Flemish Cap
